Product Name,(All),,,,,
EB-14170,1186.326,20,7,0.05%,282.1701,0.10%
EC-14050,461.914,37,7,0.02%,96.4256,0.03%
ED-13885,3484.92,54,14,0.15%,670.4435,0.23%
EG-13900,1832.02,44,9,0.08%,104.2656,0.04%
EH-13765,10310.88,120,32,0.45%,1393.5154,0.49%
EH-13945,684.171,72,17,0.03%,53.5398,0.02%
EH-13990,825.95,20,8,0.04%,150.3759,0.05%
EH-14005,1219.53,50,11,0.05%,-94.1408,-0.03%
EH-14125,3082.653,76,18,0.13%,96.2702,0.03%
EH-14185,923.884,22,8,0.04%,242.1107,0.08%
EJ-13720,2162.174,31,8,0.09%,387.0176,0.14%
EJ-14155,2656.691,31,8,0.12%,451.8755,0.16%
EK-13795,1303.478,18,4,0.06%,97.1066,0.03%
EL-13735,124.28,9,2,0.01%,27.1154,0.01%
EM-13810,2567.01,23,7,0.11%,-133.8275,-0.05%
EM-13825,2339.598,57,16,0.10%,682.5542,0.24%
EM-13960,933.704,18,6,0.04%,102.296,0.04%
EM-14065,228.99,22,6,0.01%,40.1546,0.01%
EM-14095,1041.042,34,10,0.05%,240.2362,0.08%
EM-14140,4588.436,74,21,0.20%,1319.3655,0.46%
EM-14200,366.822,13,4,0.02%,21.7721,0.01%
EN-13780,2199.366,27,9,0.10%,496.1131,0.17%
EP-13915,5478.0608,124,31,0.24%,144.9578,0.05%
ER-13855,1245.788,27,5,0.05%,-295.7398,-0.10%
ES-14020,3510.458,31,8,0.15%,1003.2935,0.35%
ES-14080,4657.924,77,20,0.20%,246.6661,0.09%
FA-14230,2984.054,58,17,0.13%,520.5229,0.18%
FC-14245,3418.742,50,14,0.15%,1217.1662,0.42%
FC-14335,3889.366,37,10,0.17%,714.2926,0.25%
FG-14260,1383.144,48,11,0.06%,394.7397,0.14%
FH-14275,4256.272,65,21,0.19%,1073.2676,0.37%
FH-14350,2271.284,52,14,0.10%,706.289,0.25%
FH-14365,6987.196,52,13,0.30%,2050.2826,0.72%
FM-14215,2456.638,48,15,0.11%,249.6808,0.09%
FM-14290,3736.198,79,20,0.16%,198.1095,0.07%
FM-14380,2523.266,53,14,0.11%,191.4898,0.07%
FO-14305,2678.438,60,15,0.12%,215.5969,0.08%
FP-14320,4046.746,54,14,0.18%,406.4473,0.14%
FW-14395,79.75,9,3,0.00%,23.4913,0.01%
GA-14515,3919.776,48,14,0.17%,840.899,0.29%
GA-14725,1398.382,79,22,0.06%,136.7079,0.05%
GB-14530,1568.44,62,20,0.07%,7.8371,0.00%
GB-14575,4716.288,63,16,0.21%,1135.8393,0.40%
GD-14590,1888.07,25,6,0.08%,230.9373,0.08%
GG-14650,2224,92,24,0.10%,12.6985,0.00%
GH-14410,2819.467,65,17,0.12%,-576.8335,-0.20%
GH-14425,4172.846,51,10,0.18%,1176.4181,0.41%
GH-14485,1361.244,15,3,0.06%,-95.4498,-0.03%
GH-14665,146.9408,9,3,0.01%,-5.8102,0.00%
GK-14620,6497.27,66,14,0.28%,1448.5525,0.51%
GM-14440,3582.82,43,11,0.16%,347.266,0.12%
GM-14455,3078.624,54,12,0.13%,793.2814,0.28%
GM-14500,1255.682,53,13,0.05%,441.3185,0.15%
GM-14680,3163.628,31,11,0.14%,35.4865,0.01%
GM-14695,6049.966,44,11,0.26%,188.7235,0.07%
GP-14740,236.53,21,5,0.01%,31.8376,0.01%
GR-14560,1284.38,23,5,0.06%,359.8332,0.13%
GT-14635,9351.212,26,6,0.41%,-4108.6589,-1.43%
GT-14710,11820.12,106,29,0.51%,2163.4269,0.76%
GT-14755,226.436,23,7,0.01%,-6.1392,0.00%
GW-14605,2189.019,43,9,0.10%,-268.5423,-0.09%
GZ-14470,4355.15,48,14,0.19%,1087.7539,0.38%
GZ-14545,2454.622,25,5,0.11%,828.661,0.29%
HA-14905,2163.3,45,10,0.09%,270.8574,0.09%
HA-14920,2584.158,72,18,0.11%,99.1445,0.03%
HD-14785,251.36,31,7,0.01%,-135.876,-0.05%
HE-14800,883.532,44,11,0.04%,274.4028,0.10%
HF-14995,2533.164,70,19,0.11%,-13.8768,0.00%
HG-14845,785.628,31,10,0.03%,147.0032,0.05%
HG-14965,3247.642,68,17,0.14%,-2797.9635,-0.98%
HG-15025,3690.284,38,11,0.16%,804.6113,0.28%
HH-15010,218.668,20,6,0.01%,86.7342,0.03%
HJ-14875,358.1,21,6,0.02%,98.6548,0.03%
HK-14890,4877.784,64,15,0.21%,956.9451,0.33%
HL-15040,12873.298,50,11,0.56%,5622.4292,1.96%
HM-14860,8236.7648,76,20,0.36%,2437.9836,0.85%
HM-14980,736.276,29,7,0.03%,117.2755,0.04%
HP-14815,1990.314,44,10,0.09%,373.8637,0.13%
HR-14770,1299.288,38,13,0.06%,185.5794,0.06%
HR-14830,5248.787,51,14,0.23%,1196.9504,0.42%
HW-14935,9300.254,85,20,0.40%,2164.1611,0.76%
HZ-14950,886.52,21,6,0.04%,-130.3879,-0.05%
IG-15085,744.574,19,7,0.03%,320.4982,0.11%
IL-15100,5040.736,60,14,0.22%,1121.937,0.39%
IM-15055,2872.63,19,4,0.13%,975.7701,0.34%
IM-15070,4930.474,93,21,0.21%,514.6527,0.18%
JA-15970,6491.026,87,24,0.28%,-819.4217,-0.29%
JB-15400,1791.605,43,16,0.08%,156.0532,0.05%
JB-15925,900.552,32,8,0.04%,-286.9808,-0.10%
JB-16000,644.1188,32,7,0.03%,126.7649,0.04%
JB-16045,2518.115,32,9,0.11%,201.5185,0.07%
JC-15340,71.263,12,4,0.00%,-0.3556,0.00%
JC-15385,1058.108,14,4,0.05%,502.9244,0.18%
JC-15775,2772.055,64,16,0.12%,279.5692,0.10%
JC-16105,858.576,43,9,0.04%,201.5952,0.07%
JD-15790,2152.352,26,7,0.09%,-266.5525,-0.09%
JD-15895,7610.864,150,32,0.33%,1050.2668,0.37%
JD-16015,385.43,39,11,0.02%,26.7605,0.01%
JD-16060,695.442,17,6,0.03%,111.1141,0.04%
JD-16150,8828.0305,60,17,0.38%,1619.5199,0.57%
JE-15475,1388.682,49,13,0.06%,276.2197,0.10%
JE-15610,7754.976,74,20,0.34%,1623.4019,0.57%
JE-15715,8697.843,97,22,0.38%,1262.2926,0.44%
JE-15745,6760.815,90,23,0.29%,221.7967,0.08%
JE-16165,2697.248,34,7,0.12%,789.6476,0.28%
JF-15190,2279.586,72,19,0.10%,575.1259,0.20%
JF-15295,955.124,42,14,0.04%,97.289,0.03%
JF-15355,1911.844,58,16,0.08%,330.199,0.12%
JF-15415,2371.448,69,14,0.10%,635.6376,0.22%
JF-15490,1082.918,36,15,0.05%,-18.0673,-0.01%
JF-15565,4198.332,67,16,0.18%,1073.2088,0.37%
JG-15115,2358.676,20,7,0.10%,684.1911,0.24%
JG-15160,6366.392,70,18,0.28%,1415.6664,0.49%
JG-15310,2240.58,46,11,0.10%,3.7976,0.00%
JG-15805,1507.018,46,9,0.07%,206.1019,0.07%
JH-15430,309.281,29,7,0.01%,-24.0771,-0.01%
JH-15820,528.91,29,8,0.02%,26.0822,0.01%
JH-15910,959.477,35,9,0.04%,-13.5545,0.00%
JH-15985,7954.998,64,14,0.35%,-644.6982,-0.23%
JH-16180,2256.394,28,5,0.10%,-96.953,-0.03%
JJ-15445,709.178,25,6,0.03%,200.5558,0.07%
JJ-15760,195,11,3,0.01%,34.4492,0.01%
JK-15205,4427.142,67,13,0.19%,1219.983,0.43%
JK-15325,383.812,15,4,0.02%,55.3277,0.02%
JK-15370,2709.632,72,17,0.12%,330.2838,0.12%
JK-15625,3760.028,44,12,0.16%,750.9485,0.26%
JK-15640,4760.434,41,12,0.21%,1172.5303,0.41%
JK-15730,4867.2,88,20,0.21%,55.0483,0.02%
JK-16090,3747.668,43,9,0.16%,586.6625,0.20%
JK-16120,2932.484,49,17,0.13%,122.6566,0.04%
JL-15130,1214.956,42,12,0.05%,-207.7956,-0.07%
JL-15175,1571.523,29,7,0.07%,209.2817,0.07%
JL-15235,2203.7,39,10,0.10%,54.5174,0.02%
JL-15505,3173.874,56,17,0.14%,591.7163,0.21%
JL-15835,9799.923,143,34,0.43%,228.907,0.08%
JL-15850,2725.256,38,11,0.12%,779.9046,0.27%
JM-15250,3159.122,91,19,0.14%,19.8235,0.01%
JM-15265,1804.146,52,13,0.08%,502.6143,0.18%
JM-15535,1733.443,46,10,0.08%,356.5395,0.12%
JM-15580,303.948,26,7,0.01%,113.1204,0.04%
JM-15655,864.947,41,12,0.04%,117.204,0.04%
JM-15865,7625.076,50,13,0.33%,1574.6164,0.55%
JM-16195,2833.926,74,19,0.12%,754.1144,0.26%
JO-15145,3254.949,59,13,0.14%,581.4045,0.20%
JO-15280,1934.272,36,11,0.08%,202.1362,0.07%
JO-15550,1090.838,42,11,0.05%,167.6709,0.06%
JP-15460,1669.135,54,15,0.07%,429.7465,0.15%
JP-15520,3635.594,63,16,0.16%,757.1802,0.26%
JP-16135,1707.71,47,13,0.07%,309.7116,0.11%
JR-15670,1156.658,14,3,0.05%,-785.1645,-0.27%
JR-15700,863.88,3,1,0.04%,107.985,0.04%
JR-16210,2201.686,41,10,0.10%,452.373,0.16%
JS-15595,1417.654,35,8,0.06%,-175.549,-0.06%
JS-15685,1131.064,42,11,0.05%,-54.8692,-0.02%
JS-15880,3868.02,43,9,0.17%,564.9798,0.20%
JS-15940,469.169,37,8,0.02%,-327.9336,-0.11%
JS-16030,2516.494,70,18,0.11%,-311.2575,-0.11%
JW-15220,7721.714,66,14,0.34%,2173.7094,0.76%
JW-15955,1244.086,41,11,0.05%,-29.5759,-0.01%
JW-16075,1428.731,38,7,0.06%,154.0637,0.05%
KA-16525,1519.506,57,11,0.07%,234.9194,0.08%
KB-16240,3152.615,34,10,0.14%,763.9076,0.27%
KB-16315,1569.464,62,22,0.07%,49.7193,0.02%
KB-16405,908.821,25,9,0.04%,274.297,0.10%
KB-16585,2744.742,102,23,0.12%,579.3551,0.20%
KB-16600,983.922,29,9,0.04%,293.5524,0.10%
KC-16255,2120.954,40,10,0.09%,846.1217,0.30%
KC-16540,3908.262,28,5,0.17%,709.4219,0.25%
KC-16675,1146.05,40,7,0.05%,156.7797,0.05%
KD-16270,8282.358,64,16,0.36%,1107.6952,0.39%
KD-16345,1888.964,36,10,0.08%,328.5942,0.11%
KD-16495,8181.256,84,28,0.36%,3038.6254,1.06%
KD-16615,2243.51,56,13,0.10%,539.7219,0.19%
KE-16420,1686.7312,67,15,0.07%,397.8799,0.14%
KF-16285,10604.266,67,18,0.46%,1660.1386,0.58%
KH-16330,3312.864,70,18,0.14%,454.7871,0.16%
KH-16360,3100.612,40,14,0.13%,528.2051,0.18%
KH-16510,5952.859,91,23,0.26%,656.1162,0.23%
KH-16630,3918.966,84,17,0.17%,727.3786,0.25%
KH-16690,5990.799,69,15,0.26%,1227.5091,0.43%
KL-16555,5016.488,84,22,0.22%,-182.7813,-0.06%
KL-16645,14175.229,113,29,0.62%,806.855,0.28%
KM-16225,2260.958,72,19,0.10%,635.1057,0.22%
KM-16375,5620.186,69,20,0.24%,973.7902,0.34%
KM-16660,453.538,30,9,0.02%,91.1391,0.03%
KM-16720,4909.472,98,28,0.21%,745.7685,0.26%
KN-16390,2617.272,56,17,0.11%,-151.1518,-0.05%
KN-16450,2171.962,49,8,0.09%,114.3083,0.04%
KN-16705,2280.58,55,15,0.10%,329.7625,0.12%
KS-16300,88.472,10,4,0.00%,0.111,0.00%
KT-16465,3057.1,45,14,0.13%,254.0032,0.09%
KT-16480,4642.0884,37,13,0.20%,194.0671,0.07%
KW-16435,4416.52,42,10,0.19%,1756.135,0.61%
KW-16570,449.096,22,5,0.02%,107.927,0.04%
LA-16780,8673.222,105,26,0.38%,2059.1199,0.72%
LB-16735,50.188,12,3,0.00%,18.6507,0.01%
LB-16795,4985.676,76,24,0.22%,-52.191,-0.02%
LC-16870,2580.704,113,30,0.11%,-188.2511,-0.07%
LC-16885,7663.126,93,23,0.33%,1288.3469,0.45%
LC-16930,4492.946,52,14,0.20%,288.266,0.10%
LC-16960,3246.626,30,7,0.14%,299.4802,0.10%
LC-17050,2095.064,43,9,0.09%,86.778,0.03%
LC-17140,2633.582,62,19,0.11%,231.1252,0.08%
LD-16855,5.304,3,1,0.00%,0.4641,0.00%
LD-17005,1961.934,25,7,0.09%,557.1714,0.19%
LE-16810,1469.45,32,9,0.06%,161.7649,0.06%
